Date,Adj Close,Close,High,Low,Open,Volume,GDP,CPI,industry_type,Company
1/4/2021,51.13999939,51.13999939,52.31999969,49.63499832,52.22000122,17291800,1791153,262.518,TECH,UBER
1/5/2021,54.00999832,54.00999832,54.18999863,50.75999832,51,21403200,1791153,262.518,TECH,UBER
1/6/2021,52.47999954,52.47999954,54.06999969,52,53.31000137,17738100,1791153,262.518,TECH,UBER
1/7/2021,56.13000107,56.13000107,56.25,53.20000076,53.36999893,23737500,1791153,262.518,TECH,UBER
1/8/2021,53.27999878,53.27999878,54.79000092,52.58000183,54.39500046,37999400,1791153,262.518,TECH,UBER
1/11/2021,54.59000015,54.59000015,55,52.99000168,53.11000061,23213800,1791153,262.518,TECH,UBER
1/12/2021,58.54000092,58.54000092,59.38999939,55,55.5,52128200,1791153,262.518,TECH,UBER
1/13/2021,59.40000153,59.40000153,59.88000107,57.52999878,58.54000092,24178500,1791153,262.518,TECH,UBER
1/14/2021,56.90999985,56.90999985,60.02999878,56.70000076,60,26561000,1791153,262.518,TECH,UBER
1/15/2021,55.52000046,55.52000046,57.90000153,55,57.49000168,23708800,1791153,262.518,TECH,UBER
1/19/2021,56.29999924,56.29999924,56.84199905,55,56.38999939,16953700,1791153,262.518,TECH,UBER
1/20/2021,56.38000107,56.38000107,57.97999954,55.47000122,57,16904300,1791153,262.518,TECH,UBER
1/21/2021,55.79000092,55.79000092,57,55.31399918,56.56999969,13432000,1791153,262.518,TECH,UBER
1/22/2021,54.31000137,54.31000137,55.47000122,54.00999832,55.25,19570500,1791153,262.518,TECH,UBER
1/25/2021,54.29000092,54.29000092,54.52000046,49.65000153,54.5,40890100,1791153,262.518,TECH,UBER
1/26/2021,51.91999817,51.91999817,55.52000046,51.52999878,54.61999893,25677000,1791153,262.518,TECH,UBER
1/27/2021,48.11000061,48.11000061,50.86000061,47.15000153,49.97000122,33283400,1791153,262.518,TECH,UBER
1/28/2021,51.58000183,51.58000183,52.52000046,49.88000107,50.11999893,28114700,1791153,262.518,TECH,UBER
1/29/2021,50.93000031,50.93000031,51.49000168,49.63499832,50.63000107,18743200,1791153,262.518,TECH,UBER
2/1/2021,52.75999832,52.75999832,52.90000153,51.34999847,52.11999893,15570900,1791153,263.583,TECH,UBER
2/2/2021,56.45999908,56.45999908,58.02999878,54.88999939,55.11000061,30286800,1791153,263.583,TECH,UBER
2/3/2021,57.11999893,57.11999893,58.13000107,56.74000168,57.86999893,13519000,1791153,263.583,TECH,UBER
2/4/2021,57.84999847,57.84999847,57.84999847,56.11000061,56.45000076,13841600,1791153,263.583,TECH,UBER
2/5/2021,58.58000183,58.58000183,58.70800018,57.36999893,58.15999985,15729200,1791153,263.583,TECH,UBER
2/8/2021,59.29000092,59.29000092,60.11000061,58.68999863,59.70000076,18403700,1791153,263.583,TECH,UBER
2/9/2021,59.61000061,59.61000061,61.06000137,58.61999893,58.90999985,23510700,1791153,263.583,TECH,UBER
2/10/2021,63.18000031,63.18000031,63.5,60.79999924,62,36972900,1791153,263.583,TECH,UBER
2/11/2021,60.70999908,60.70999908,64.05000305,60.39500046,63.25,41363400,1791153,263.583,TECH,UBER
2/12/2021,60.63000107,60.63000107,60.93000031,59.31499863,60.11999893,14607800,1791153,263.583,TECH,UBER
2/16/2021,60.52000046,60.52000046,61.31000137,59.84000015,61.02000046,15413100,1791153,263.583,TECH,UBER
2/17/2021,60.81000137,60.81000137,60.95000076,58.95000076,60.33000183,12670000,1791153,263.583,TECH,UBER
2/18/2021,59,59,60.29000092,58.22999954,60,15135600,1791153,263.583,TECH,UBER
2/19/2021,58.38999939,58.38999939,60.45700073,58.11299896,58.36000061,28097000,1791153,263.583,TECH,UBER
2/22/2021,55.31000137,55.31000137,58.09999847,54.81600189,57.75999832,25565400,1791153,263.583,TECH,UBER
2/23/2021,56,56,56.36999893,51.88999939,53.5,23947500,1791153,263.583,TECH,UBER
2/24/2021,53.90999985,53.90999985,55.15000153,53.65999985,54.95000076,24627000,1791153,263.583,TECH,UBER
2/25/2021,51.45000076,51.45000076,54.59999847,50.86000061,54.58000183,27049100,1791153,263.583,TECH,UBER
2/26/2021,51.75,51.75,52.75,50.61000061,52.06999969,16349800,1791153,263.583,TECH,UBER
3/1/2021,54.40000153,54.40000153,54.75999832,53.29999924,53.66999817,18481100,1791153,264.91,TECH,UBER
3/2/2021,54.65000153,54.65000153,55.61999893,54.18899918,55.54000092,15199500,1791153,264.91,TECH,UBER
3/3/2021,56.11000061,56.11000061,57.79999924,54.65000153,55.93000031,28485400,1791153,264.91,TECH,UBER
3/4/2021,53.06999969,53.06999969,57.15999985,51.61000061,55.75,27409600,1791153,264.91,TECH,UBER
